Абсолютная идея;в философии Гегеля мысль, отражающая самое себя в процессе самопознания.
Западничество;направление русской политической мысли 40-50-х годов ХIХ в., которое обосновывало и защищало ценности западного либерализма как необходимые для России и которое противостояло славянофильству.
Знание;отражение в обобщенной форме существенных характеристик и связей мира.
Знание априорное;доопытное знание, которое представляет собой те навыки, умения и способности, которые были выработаны человечеством, закрепились в культуре и существуют до опыта отдельного индивида.
Знание техническое;та часть знания, которая реализуется в технике, то есть служит для проектирования, конструирования, развития и функционирования искусственно созданных средств целесообразной деятельности людей.
Идеал;образ наиболее ценного, совершенного и величественного для человека; предельная цель, к которой устремлена жизнь духовно богатого человека.
Идеализация;способ образования понятий абстрактных объектов.
Идеализм;философское направление, которое объясняет мир, исходя из духа, сознания.
Идеализм объективный;признает существование реального мира вне человека, но считает, что в его основе лежит объективное духовное начало.
Идеализм субъективный;первичным признает сознание, разум отдельного человека, субъекта.
Идеальное;выражение бытия объекта в субъективном, мыслительном образе.
Идеология;система базовых взглядов и идей, систематизированных и обоснованных теоретиками, в которых осознаются и оцениваются отношения людей к действительности и друг к другу и которые регулируют эти отношения.
Изотропность;одинаковость свойств пространства по всем направлениям.
Индетерминизм;концепция, в которой отрицается причинная обусловленность всех явлений.
Индивид;отдельный представитель некой социальной общности, обособленный от других людей.
Индивидуальность;уникальность и неповторимость человека во всем богатстве его личностных качеств и свойств.
Индукция;метод исследования, заключающийся в переходе от знания единичных утверждений к знанию общих положений.
Интенциональность;направленность любого акта сознания на предмет, независимо от того, реален он или нереален.
Интуиция;процесс, который происходит внезапно и неосознанно.
Информация;отражение разнообразия в любых объектах и процессах мира.
Иррационализм;философское направление, которое отрицает возможность рационального постижения мира и выдвигает на первый план инстинкты человека, его интуицию и бессознательные эмоционально-волевые процессы, то есть неразумные начала.
Искусственная среда;измененная человеком естественная среда его обитания.
Истина;верное, адекватное отражение действительности в сознании человека, обусловленное развитием практики, прогрессом наук и существующей системой общественных отношений.
Истина абсолютная;полное, исчерпывающее знание об объекте; знание, которое никогда не может быть опровергнуто в будущем
Истина объективная;такое содержание знания, которое не зависит ни от человека, ни от человечества.
Истина относительная;неполное, незавершенное знание об объекте.
Исторический тип философии;объединяет философов разных взглядов и убеждений, но сформировавшихся в едином пространстве и времени культуры.
Карма;сумма добрых и злых дел человека, осуществляющих своего рода «закон возмездия».
Касты;обособленные социальные группы, члены которых связаны происхождением и правовым положением и принадлежность к которым является наследственной.
Категорический императив;основной закон этики Канта, который формулируется следующим образом: «Поступай так, чтобы максима (основной принцип) твоей воли могла бы в то же время иметь силу принципа всеобщего законодательства».
Качество;существенное свойство вещи, утрата которого приводит к непременному исчезновению данной вещи.
Классы;большие группы людей, различающиеся по их месту в исторически определенной системе общественного производства, по их отношению к средствам производства, по их роли в общественной организации труда и по способам получения и размерам доли общественного продукта.
Когерентная концепция истины
Когерентность;связанность, согласованность составляющих систему элементов.
Когнитивный оптимизм;гносеологическая позиция, которая утверждает принципиальную возможность познания мира человеком.
Количество;совокупность свойств, указывающих на размеры вещи, на ее величины (объем, длины, ширину), темп развития, степень проявления тех или иных свойств.
Конвенционализм;учение, согласно которому некоторые определенные утверждения науки являются результатом произвольного соглашения (конвенция) между учеными, обусловленного соображениями простоты, удобства и целесообразности.
Космос;гармоничный, согласованный во всех своих частях и проявлениях мир.
Коэволюция;взаимосогласованное развитие человека и природы.
Креационизм;учение о творении мира Богом из ничего.
Культ;система обрядовых действий, направленных на установление определенных отношений со сверхъестественным.
Культура;система материальных и духовных ценностей, которая создается в процессе духовно-практической деятельности людей и которая в своем наиболее обобщенном проявлении выступает как мера творческого развития человека, раскрытия его сущностных сил и способностей.
Культура духовная;совокупный результат духовной деятельности людей на протяжении всей истории человечества.
Личность;общественно развитый человек, человек как субъект сознательной деятельности, обладающий совокупностью социально значимых свойств и качеств, которые он реализует в общественной жизни.
Логика;учение об основных законах и формах правильного мышления.
Ложь;преднамеренное искажение действительности.
Майевтика;составляющая диалектического метода Сократа, суть которой состоит в преодолении противоречий, раскрытых в суждениях собеседника с целью достижения истины.
Материализм;философское направление, которое в качестве первоосновы мира утверждает материю, а сознание рассматривает как производное от нее.
Материя;философская категория, обозначающая объективную реальность, которая существует независимо от человеческого сознания, но отображается им.
Менталитет;предрасположенность индивида или социальной группы действовать, мыслить, чувствовать и воспринимать мир в соответствии с принятыми обществом взглядами, стереотипами и формами поведения.
Мера;интервал, внутри которого количественные изменения не приводят к возникновению нового качества.
Метафизика;учение о сверхчувственных принципах бытия; односторонний способ мышления.
Метод;программа действий субъекта, способ решения поставленной задачи.
Метод аксиоматический;выведение из аксиом чисто логическим путем всех предложений теории.
Метод гипотетико-дедуктивный;способ построения системы дедуктивно связанных между собой гипотез, из которых выводится все остальное знание.
Метод диалектический;система принципов, категорий и законов, ориентирующих человека на изучение и преобразование предметов и явлений действительности в их противоречивом самодвижении.
Метод исторический;воспроизведение исторического процесса во всей его полноте, последовательности и неповторимости.
Метод логический;обобщенное отражение исторического процесса, объяснение необходимости и закономерности его развития.
Методология;философское учение об общих основаниях, путях и закономерностях научного познания, принципах и методах его организации, функционирования, развития и применения.
Механицизм;объяснение всех явлений мира, исходя из законов такой всеобщей и универсальной формы движения материи, как механическая.
Мечта;форма проявления воображения, представляет собой образы желаемого будущего, не воплощаемые непосредственно в те или иные продукты деятельности.
Мировоззрение;система взглядов, определяющих общее видение и понимание мира, человека и места человека в мире, и основанная на этих взглядах познавательная, ценностная и поведенческая ориентация человека в мире.
Миропонимание;осмысление мира с помощью понятий и категорий.
Миросозерцание;целостное осознание и переживание воздействующей на человека реальности в форме ощущений, восприятий, представлений и эмоций.
Мифология;совокупность мифов, то есть чудесных историй о богах и героях, в которых выражено определенное отношение разных народов к реальному миру.
Моделирование;метод исследования объектов путем построения модели, замещающей эти объекты.
Модель;система элементов, воспроизводящая определенные стороны, связи, функции изучаемого объекта (оригинала) и служащая источником информации о нем.
Монады;в философии Лейбница бесконечно малые духовные единицы бытия.
Монизм;учение, в котором утверждается, что в основе мира лежит одна субстанция.
Мышление;высший познавательный процесс опосредованного и обобщенного отражения человеком закономерных связей действительности и их выражения в системе абстракций.
Наблюдение;метод, состоящий в преднамеренном, систематическом и целенаправленном восприятии предметов и явлений внешнего мира.
Надсознательное;усвоенные субъектом как членом той или иной социальной группы образцы типичного для данной общности поведения, влияние которых на его деятельность не осознается и не контролируется субъектом.
Народность;этносоциальная общность людей, существование которой обусловлено общей территорией, единым языком, своеобразным психологическим укладом.
Наука;особая форма общественной духовной деятельности, в процессе которой осуществляется выработка логически организованного, систематизированного объективно-истинного знания о существенных сторонах и связях явлений природы, общества и самого процесса познания; особый социальный институт, представляющий собой совокупность разнообразных исследовательских организаций.
Научная картина мира;совокупность знаний о мире, выработанных конкретными науками на основе эмпирического исследования и теоретического осмысления.
Научно-техническая революция;совокупность взаимообусловленных качественных изменений в науке и технике, ведущих к установлению новой естественнонаучной картины мира и к коренному изменению места и роли человека в производственном процессе.
Нация;этносоциальная общность людей, совместно ведущих экономическую жизнь, имеющих общую территорию и язык, единую культуру и специфический психологический уклад, а также общую историческую судьбу.
Невозможность;то, что противоречит законам развития мира.
Необходимость;то, что обусловлено внутренними причинами существования и развития вещи.
Нирвана;состояние полного угасания эмоциональной активности человека; абсолютный, ненарушаемый покой
Номинализм;учение, согласно которому объективным существованием обладают только единичные вещи, а общие понятия есть лишь имена для обозначения единичных вещей.
Ноосфера;сознательно создаваемое человеком состояние природной среды.
Обобщение;мысленное объединение существенных признаков предметов на основе их выделения посредством абстрагирования.
Общее;сходные, повторяющиеся стороны, свойства и признаки предметов и явлений.
Общественная психология;совокупность несистематизированных идей, чувств, влечений, которые возникают стихийно путем непосредственного отражения условий жизни людей.
Общественное сознание;совокупность идей, взглядов, теорий, а также настроений, чувств, привычек и нравов определенных социальных общностей и общества в целом на том или ином этапе его развития.
Общественно-экономическая формация;исторически конкретное общество на данном этапе его развития в единстве всех его сторон.
Общество;обособившаяся от природы часть материального мира, которая включает в себя способы взаимодействия людей и формы их объединения; определенный этап исторического развития человечества; конкретная страна; определенная группа людей, объединившихся для общения и совместного выполнения какой-либо деятельности.
Объект;то, что противостоит субъекту в его познавательной деятельности.
Окружающая среда;соотношение естественной и искусственной среды.
Онтологические категории;наиболее общие и первоначальные определения бытия объектов познания.
Онтология;учение о фундаментальных принципах бытия, наиболее общих сущностях и категориях бытия.
Олицетворение;перенос человеческих черт на окружающий мир.
Ответственность;сознательное осуществление предъявляемых к личности, коллективу и обществу взаимных требований.
Отражение;всеобщее свойство материи, суть которого состоит в способности любой вещи воспроизводить в своих свойствах особенности воздействующих на нее других вещей.
Отчуждение;социальный процесс, который характеризуется превращением деятельности человека и ее результатов в самостоятельную силу, господствующую нам ним и враждебную ему.
Ошибка;результат неправильных действий индивида в любой сфере деятельности.
Ощущение;форма чувственного познания, которая отражает отдельные свойства предметов и явлений действительности.
Пантеизм;учение, отождествляющее бога и природу.
Патристика;период становления западноевропейской средневековой христианской философии во II;VIII вв., к которому относится система теолого-философских взглядов отцов церкви.
Персонализм;религиозное учение, в котором человек рассматривается как личность (Персона) и признается высшей духовной ценностью и высшим смыслом земной цивилизации.
Перфекционизм;этическое учение, в котором под смыслом жизни понимается личное самосовершенствование.
Племена;этносоциальная общность людей, представляющая собой совокупность родов, связанных между собой сознанием общего происхождения и общими чертами культуры.
Плюрализм;философское учение, утверждающее, что в основе мира лежит более двух субстанций.
Повод;внешний толчок, который способствует проявлению причины.
Подсознательное;те представления, желания, действия, устремления людей, которые в настоящее время ушли из их сознания, но могут появиться вновь.
Познание;процесс приобретения и развития знания, его углубления и расширения.
Покой;движение в равновесии.
Понимание;такая форма освоения действительности, в процессе которой осуществляется постижение и воспроизведение смыслового содержания природных и социально-культурных объектов.
Понятие;форма мышления, которая отражает общие и наиболее существенные свойства окружающих нас предметов и явлений.
Постмодернизм;ситуация в культуре высокоразвитых стран Запада, начиная с последней трети ХХ в.
Постструктурализм;учение, объединившее общие подходы в философском и социально-гуманитарном познании на основе критики структурализма и построения новых моделей смыслообразования.
Прагматизм;как этическое учение смысл жизни усматривает в достижении успеха.
Практика;целеполагающая деятельность, характеризующаяся изменением и преобразованием тех или иных объектов окружающего мира для удовлетворения материальных и духовных потребностей.
Предмет философии;всеобщее во взаимодействии человека и мира.
Предсознательное;неосознаваемые стереотипы автоматического поведения, которые возникают в процессе перцептивных, мнемических, моторных, мыслительных задач и опираются на прошлый опыт субъекта.
Представление;чувственный образ предмета, в данный момент не воздействующий на органы чувств человека, но воздействовавший на них ранее.
Природа;та часть материального мира, которая не создана человеком и существует независимо от него.
Природа человека;то, что сближает его со всеми другими живыми существами и в то же время отличает от них.
Причина;взаимодействие между телами или элементами одного и того же тела, вызывающее определенные изменения во взаимодействующих телах или элементах, то есть следствия.
Проблема;объективно возникающие в процессе познания трудности, сформулированные в виде упорядоченной совокупности вопросов.
Провиденциализм;понимание истории как проявления воли Бога.
Прогресс;движение от простого к сложному, от низшего к высшему.
Прогресс общественный;такое развитие общества, которое характеризуется поступательным, восходящим переходом его от низшего состояния к высшему, благополучному, совершенному состоянию.
Производительные силы;все то, посредством чего осуществляется производственная деятельность: орудия и средства труда, а также люди, обладающие необходимыми для трудовой деятельности навыками, знаниями и опытом.
Производственные отношения;отношения по поводу собственности на средства производства, в которые люди вступают в процессе производства материальных благ.
Производство материальное;трудовая деятельность человека по преобразованию природы, направленная на создание материальных благ, которые служат удовлетворению человеческих потребностей и интересов.
Пространство;философская категория, обозначающая протяженность материальных объектов, их расположение относительно друг друга и величину.
Противоречие;единство и борьба противоположностей.
Протяженность;это возможность прибавления к каждому данному объекту некоторого другого объекта.
Психологическая защита;способы неосознаваемой регуляции деятельности, с помощью которых снимается дискомфортное эмоциональное напряжение.
Развитие;такие изменения, которые отличаются обязательными качественными преобразованиями.
Раздражимость;способность живого организма реагировать на те внешние воздействия и условия окружающей среды, которые имеют для него непосредственное биологическое значение.
Разум;диалектическое мышление, направленное на познание универсальной связи вещей и всех явлений.
Рассудок;умение строго и четко систематизировать данные, последовательно и ясно рассуждать, делать выводы, основанные на логических законах.
Рационализм;гносеологическое учение, которое решающую роль в процессе познания отводит разуму, относя чувственное отражение к недостоверному знанию.
Реализм;учение, согласно которому объективно существуют только общие понятия, или универсалии, а не единичные чувственно воспринимаемые предметы.
Реальность виртуальная;особый мир измененного состояния человеческого сознания, возможно более полная имитация в чувственном восприятии человека объективного мира.
Реальность объективная;существование, независимое от человеческого сознания.
Реальность субъективная;формируется через гносеологическое отношение субъекта к объекту и не может существовать вне человеческого сознания.
Регресс;изменения, идущие в направлении от высшего к низшему.
Редукционизм;отрицает качественное своеобразие высшей формы движения материи и сводит ее к низшей.
Религия;форма мировоззрения, основанная на вере в существование сверхъестественных сил, которая организует поведение людей в соответствии с высшим, божественным смыслом и возвышает человека до абсолютных и вечных ценностей.
Релятивизм;учение, утверждающее относительность всех наших знаний.
Рефлексия;возможность человека наблюдать за самим собой, за своими ощущениями, за своим внутренним состоянием.
Род;исторически первая этносоциальная общность людей, основанная на кровной близости.
Самооценка;знание шкалы ценностей, по которой человек может оценить себя.
Самопознание;выработка человеком системы представлений о себе самом, определяющих его отношение к себе.
Самосознание;идеальное отражение самого себя.
Самоконтроль;целенаправленное управление содержанием собственного сознания.
Сансара;бесконечный процесс перевоплощений души, «колесо жизни».
Свобода;способность человека выбирать решения, ставить перед собой цели и совершать поступки в соответствии со своими целями, интересами, идеалами, основанными на осознании свойств и отношений вещей, закономерностей окружающего мира.
Свойство;то, что отличает одну вещь от других вещей или указывает на ее сходство с ними.
Семья;основанная на браке или кровном родстве малая группа, связанная общностью быта, моральной ответственностью и взаимопомощью.
Сенсуализм;гносеологическое учение, которое все содержание познания выводит из деятельности органов чувств.
Синергетика;новое междисциплинарное направление научных исследований, направленных на раскрытие механизмов самоорганизации в системах самой разной природы.
Синергия;целостное, неразделимое функциональное единение когерентных по своей сущности элементов системы.
Синтез;объединение полученных в результате анализа элементов в единое целое.
Система;совокупность элементов, которые так связаны друг с другом, что выступают по отношению ко всему окружающему как единое целое.
Системно-структурный уровень материи;совокупность различных видов материи, в пределах которой они объединяются господствующим типом связей и взаимодействий.
Скачок;переход от одного качества к другому.
Скептицизм;учение, которое, не отрицая принципиальную возможность познания объективной действительности, выражает сомнение в достоверности знания о ней.
Славянофильство;идейно-политическое учение об исключительности и неповторимости исторического пути развития России и мессианской предопределенности русского народа.
Следствие;изменения, появляющиеся во взаимодействующих телах или элементах в результате их взаимодействия.
Слои социальные;социальные группы, которые образуются в рамках классов и сословий на основе тех или иных критериев.
Случайность;то, что обусловлено внешними причинами существования и развития вещи, ее взаимодействием с другими окружающими ее вещами.
Смысл жизни;осознание человеком направленности своей жизни, сознательное выстраивание им иерархии ценностей, осознание своих возможностей и стремление к их реализации.
Соборность;идеальное состояние общества, основанное на абсолютном единстве свободы, любви и христианской религии.
Содержание;вся совокупность сторон, свойств, признаков и связей предмета, явления или процесса.
Сознание;высшая, свойственная людям и связанная с речью функция мозга, заключающаяся в обобщенном и целенаправленном отражении действительности, в предварительном мысленном построении действий и предвидении их результатов, в разумном регулировании и самоконтролировании поведения человека.
Солипсизм;учение, в котором реально существующим признается только один воспринимающий субъект.
Сословия;социальные группы, которые обладают закрепленными в законе или обычае правами и обязанностями.
Софизм;умышленно ошибочное рассуждение, выдаваемое за истинное.
Софистика;сознательное использование в споре и доказательствах софизмов.
Социальная структура общества;связанные системой отношений и взаимодействий социальные группы.
Социальные группы;формы объединения людей, которые образуются для удовлетворения их потребностей посредством совместных, скоординированных, солидарных действий.
Социоморфизм;осмысление отношений между природными объектами по образу и подобию отношений внутри человеческого рода.
Способ производства;диалектическое единство производительных сил и производственных отношений.
Стратификация социальная;структурированная дифференциация людей на различные социальные слои, между которыми неравномерно распределяются права и обязанности.
Структура;устойчивость, качественная определенность предмета; такое взаимоотношение его элементов, при котором изменение одного элемента влечет за собой изменение остальных.
Субстанция;характеристика бытия со стороны его внутреннего единства, взаимосвязи всех его проявлений безотносительно к их бесконечно многообразным видоизменениям.
Субъект познания;носитель и активное начало в познавательном процессе.
Суждение;высказывание, с помощью которого связываются понятия и в котором нечто утверждается или отрицается.
Сущность;внутренняя, устойчивая, основная сторона действительности, лежащая за пределами непосредственных восприятий.
Сущность человека;глубинные качества, которые обусловливают специфику человека и внешне проявляются в чертах, свойственных его природе.
Сциентизм;мировоззренческая позиция, согласно которой научное знание является наивысшей культурной ценностью и достаточным условием ориентации человека в мире.
Теория;высшая форма организации научного знания, которая дает целостное отображение объективных законов и других существенных связей действительности.
Теодицея;оправдание Бога за наличие зла в мире.
Теоцентризм;принцип религиозной философии, согласно которому Бог является единственным источником всякого бытия, истины и блага.
Техника;область человеческой деятельности, направленная на изменение природы и господство над ней в соответствии с потребностями человека; совокупность умений и навыков, составляющих профессиональные особенности того или иного рода человеческой деятельности; искусство и мастерство человека, занимающегося этой деятельностью; совокупность артефактов.
Технология;совокупность методов обработки, изготовления, изменения состояний, свойств, формы сырья, материалов и полуфабрикатов, применяемых в процессе производства для получения готовой продукции.
Титанизм;идея всесилия и могущества человека, призванного быть соучастником божественного миротворения.
Точка бифуркации;точка ветвления путей развития нелинейных систем.
Трансцендентальный;термин для обозначения мира явлений человеческого сознания.
Трансцендентный;термин для обозначения мира, внешнего для познающего субъекта, находящегося за пределами его опыта.
Туизм;учение Фейербаха, в котором подчеркивается особая значимость личности другого, «Ты» для человека.
Убеждение;прочная уверенность человека в истинности своих знаний, в правоте своей жизненной позиции.
Умозаключение;сопоставление и анализ различных суждений и образование на этой основе новых общих или частных выводов.
Фаллибилизм;принцип, который утверждает принципиальную гипотетичность и погрешимость любого научного знания.
Фальсифицируемость;принципиальная опровержимость любого научного утверждения.
Фатализм;воззрения на историю и жизнь человека как на нечто заранее предопределенное Богом, судьбой или объективными законами развития.
Феномен;возникающие в сознании смыслы предметов.
Феноменология;учение о феноменах.
Физикализм;принцип, согласно которому предложения в эмпирических науках должны быть сведены к предложениям физики.
Философия истории;раздел философского знания, в котором осмысливаются проблемы развития общества, определяются цели и смысл его существования.
Флуктуация;отклонение системы от некоторого среднего состояния.
Форма внешняя;указывает на различие данного содержания от всего иного.
Форма внутренняя;способ существования и выражения содержания.
Формализация;переход от оперирования понятиями к оперированию символами, осуществляемый посредством отвлечения от содержания знания и выделения его формы, которая находит выражение в особом, искусственном языке.
Фрактал;понятие в синергетике, которое отражает структурное единство самоорганизующихся систем.
Часть;категория, которая выражает предмет не сам по себе, а лишь его отношение к тому, составным компонентом чего он является.
Человек;категория для обозначения общих черт, свойственных высшему биологическому виду Homo sapiens.
Чувствительность;реакция животного не только на биологически значимые для него факторы, но и на биологически нейтральные, которые, однако, связаны с биологически значимыми.
Целое;предмет (явление, процесс), включающий в себя в качестве составных частей другие, органически связанные между собой предметы (явления, процессы), и обладающий такими свойствами, которые не сводятся к свойствам составляющих его частей.
Ценность;социокультурное значение определенных явлений действительности для человека.
Цивилизация;такой исторический период в истории человечества, который связан с существованием товарного производства и социально-классовых отношений и характеризуется интенсивным и разносторонним развитием промышленности, техники, науки, искусства, средств связи, городского строительства, предметов быта и других культурных ценностей, а также появлением соответствующего образа жизни людей, некоторых черт их поведения и внешнего облика.
Эвдемонизм;этическое учение о сущности, путях достижения и критериях счастья.
Эволюция;постепенность количественных изменений при сохранении основы качества.
Эгоизм;этическое учение, которое исходит из того, что человек в своих действиях должен руководствоваться только личными интересами.
Экзегетика;искусство истолкования и интерпретации религиозных текстов.
Экзистенция;категория для обозначения конкретного бытия человеческой личности, которое абсолютно не похоже на других.
Эклектика;методологический прием, основанный на выхватывании отдельных, часто несовместимых и исключающих друг друга мыслей, фактов, взглядов, воззрений и их механическом смешении.
Эксперимент;испытание изучаемого объекта в контролируемых и управляемых условиях.
Экстаз;мистический союз с Божественным Абсолютом.
Эманация;истечение переполненного благом Единого в философии Плотина.
Эмпиризм;гносеологическое учение, согласно которому чувственный опыт является единственным источником познания.
Эмпирические факты;действительные, реально существующие события, свойства и отношения объектов мира и процессы их изменений, которые стали известны в результате наблюдения и эксперимента и вошли в сферу человеческого познания, стали предметом человеческой деятельности.
Эпистемология;философский анализ научного знания.
Эстетика;философское учение о прекрасном.
Эсхатология;религиозное учение о конечных судьбах мира и человека.
Этика;философское учение о морали.
Этносы;большие группы людей, обладающие общностью культуры, языка, сознанием нерасторжимости исторической судьбы.
Явление;внешнее обнаружение сущности.

