немного;a little bit
удивительный, поразительный;amazing
посол;ambassador
честолюбие;ambition
честолюбивый;ambitious
скорая помощь;ambulance
засада;ambush
поддающийся, подверженный;amenable
исправлять, улучшать;amend
исправление, поправка;amendment
дружелюбный, добродушный, любезный;amiable
среди, между;amid
неверно, не туда, некстати;amiss
боеприпасы;ammunition
количество, сумма/доходить до определЮнного значения;amount
обильный, достаточный, пространный;ample
забавлять, развлекать;amuse
развлечение, забава, впремяпрепровождение;amusement
анализ;analysis
предок;ancestor
якорь/становиться на якорь;anchor
древний, старинный;ancient
снова, заново;anew
гнев/злить, раздражать;anger
угол;angle
сердитый, раздражЮнный;angry
мука, боль;anguish
животное;animal
чувственность;animalism
оживлять, воодушелвять/живой, оживлЮнный;animate
годовщина, юбилей/ежегодный;anniversary
объявлять, публиковать, докладывать;announce
объявление, сообщение, уведомление;announcement
надоедать, докучать;annoy
ежегодный;annual
отвечать/ответ;answer
муравей;ant
гимн, торжественная песнь;anthem
ожидать;anticipate
ожидание;anticipation
противоядие;antidote
отвращение, несовместимость;antipathy
беспокойство, тревога;anxiety
озабоченный, беспокоящийся;anxious
как-нибудь;anyhow
больше не, уже не;anymore
кто-нибудь, кто угодно;anyone
тем не менее, всЮ равно;anyway
отдельно, в стороне, порознь;apart
квартира;apartment
безразличие, вялость;apathy
обезьяна (человекообразная);ape
приносить извинения;apologize
извинение или оправдание;apology
пугать, устрашать;appal
видимый, явный, очевидный;apparent
призыв, воззвание, обращение/взывать, обращаться;appeal
появляться;appear
впечатление, внешний вид;appearance
успокаивать, облечгать, утолять;appease
одобрять или аплодировать;applaud
одобрение или рукоплескания;applause
приспособление, прибор;appliance
применение, употребление;application
применять;apply
назначать, определять, предписывать;appoint
назначение, определение;appointment
оценивать;appraise
ценить;appreciate
оценка, понимание;appreciation
приближаться/приближение, подход;approach
подходящий, соответствующий;appropriate
присвоение, приобретение;appropriation
одобрение;approval
одобрять;approve
склонный, способный к чему-либо;apt
произвольный, случайный;arbitrary
архив;archive
горящий, страстный, ревностный;ardent
сложный, труднодоступный, напряжЮнный (о деятельности);arduous
площать, пространство, район, территория;area
спорить, убеждать, доказывать;argue
спор, дискуссия или отдельный довод;argument
возникать, появляться, проистекать из;arise
оружие/вооружать;arm
вооружение;armament
арсенал;armoury
армия;army
будить, пробуждать(ся), возбуждать;arouse
налаживать, устраивать, приводить в порядок;arrange
приведение в порядок, урегулирование, приспосабливание;arrangement
задерживать;arrest
прибытие;arrival
прибывать, достигать, наступать (о событии);arrive
высокомерный, надменный;arrogant
стрела, стрелка;arrow
искусство;art
ловкий, хитрый;artful
статья, заметка;article
искуственный;artificial
художник или артист;artist
то тех пор, пока;as long as
подниматься, восходить, набирать высоту;ascend
пепел, зола;ash
пристыженный, стыдящийся;ashamed
в стороне, в сторону, отдельно;aside
спящий;asleep
стремление;aspiration
стремиться;aspire
осЮл;ass
атаковать, набрасываться, критиковать;assail
убийца;assassin
убить;assassinate
нападать, использовать физическое насилие/нападение, атака;assault
собирать, созывать;assemble
собрание, агрегат;assembly
утверждать, заявлять;assert
утвердение, заявление;assertion
определять налог, облагать налогом;assess
ценное имущество или ценное качество, свойство;asset
мерзавец, негодяй;asshole
назначать, определять, присваивать;assign
назначение, задание;assignment
помогать, принимать участие;assist
помощь, содействие;assistance
связываться, общаться/товарищ, компаньон;associate
сообщество, ассоциация, общение;association
принимать;assume
предположение;assumption
уверенность, убеждЮнность;assurance
уверять, убеждать;assure
удивлять, изумлять;astonish
удивление, изумление;astonishment
поражать, изумлять;astound
не туда, в другую сторону, заблудившись;astray
приют или дурдом;asylum
совсем, совершенно;at all
сперва, вначале;at first
по крайней мере;at least
сразу;at once
безбожник;atheist
злодеяние или что-то отвратительное;atrocity
прикреплять, присоединять, привязывать;attach
привязанность;attachment
нападать /нападение;attack
достигнуть, добиться;attain
пытаться/попытка;attempt
посещать, присутствовать;attend
сопровождающий/сопровождающее лицо;attendant
внимание, внимательность;attention
внимательный;attentive
чердак;attic
отношение к чему-либо;attitude
прокурор или поверенный адвокат;attorney
привлекать;attract
привлекательность или привлечение;attraction
привлекательный;attractive
приписывать, относить / свойство;attribute
смелый, дерзкий;audacious
смелость или наглость;audacity
слышный, внятный, слышимый;audible
аудитория, те, кто смотрит;audience
увеличивать/увеличение;augment
тЮтка;aunt
автор, писатель, создатель;author
власть, полномочие;authority
уполномочивать, оправдывать, давать право;authorize
осень;autumn
доступность;availability
доступный;available
лавина;avalanche
алчность;avarice
мстить;avenge
средний, обыкновенный;average
отводить, отвлекать, отвращать;avert
избегать;avoid
ожидать;await
будить, пробуждать/бодрствующий;awake
пробуждение;awakening
награждать/присуждение (награды, премии);award
знающий, осведомлЮнный;aware
осознание;awareness
страх, трепет/внушать страх;awe
устрашающий, пугающий;awesome
ужасный;awful
неуклюжий или неудобный;awkward
топор;axe
(разг.) малышка, красотка;babe
маленький ребЮнок;baby
холостяк;bachelor
сторониться, отодвигаться;back off
спина, задняя сторона/задний/назад, обратно;back
позвоночник;backbone
фон/фоновый;background
обратный/назад, наоборот;backward
очень сильно;badly
ставить в тупик, расстраивать;baffle
сумка;bag
залог, поручительство;bail
приманка, искушение/приманивать;bait
печь (хлеб), обжигать (глину);bake
равновесие/сохранять равновесие;balance
лысый;bald
бюллетень;ballot
(разг.) яйца;balls
запрещать/запрет;ban
ансамбль;band
лента;band
удар, стук, звук взрыва/ударять, греметь;bang
изгонять, отгонять, прогонять;banish
берег (реки);bank
крещение;baptism
полоса металла, прут, решетка (мн.ч);bar
варвар/варварский;barbarian
парикмахер;barber
голый;bare
только, лишь, едва;barely
торговаться;bargain
кора;bark
лаять;bark
бочка;barrel
преграда;barrier
бармен;bartender
основа/основывать (на);base
безосновательный;baseless
подвал или фундамент;basement
бить, ударять/удар;bash
основной;basic
в основном, по существу;basically
основание;basis
корзина;basket
ублюдок;bastard
ванна;bath
купать, омывать/купание;bathe
ванная комната;bathroom
бой;battle
бухта;bay
гореть, загореться;be on fire
бобы;beans
медведь;bear
носить, переносить, выносить (терпеть);bear
терпимый, сносный;bearable
борода;beard
зверь, скотина;beast
бить/удар;beat
красота или красавица;beauty
становиться;become
кровать;bed
спальня;bedroom
пчела;bee
говядина;beef
пиво;beer
случаться, происходить;befall
заблаговременно или преждевременно;beforehand
просить, умолять;beg
порождать;beget
нищий;beggar
ради кого-либо, в чьи-либо интересах;behalf (on smb's ~)
поступать, вести себя;behave
поведение;behavior
смотреть, видеть, замечать, созерцать;behold
бытие или существо;being
вера или убеждение;belief
правдоподобный, вероятный;believable
верить или полагать;believe
верующий;believer
принижать;belittle
колокол/звонить;bell
живот, брюхо;belly
принадлежать, относиться к чему-то;belong
вещи, пожитки;belongings
ниже, внизу, под;below
пояс/подпоясаться;belt
скамья;bench
гнуть, сгибаться;bend
под, внизу;beneath
благотворный;beneficial
пенсия, пособие;benefit
польза, выгода/приносить пользу;benefit
великодушный или благожелательный;benevolent
ягода;berry
рядом;beside
кроме;besides
пари/держать пари;bet
предавать, обманывать;betray
остерегаться;beware
за, по ту сторону, вне;beyond
склонять или оказывать влияние/уклон или предубеждение;bias
Ѓиблия;Bible
велосипед;bicycle
приглашать, предлагать;bid
счЮт к оплате;bill
текст закона, законопроект;bill
доска объявлений, афиша;billboard
миллиард;billion
связывать, привязывать;bind
берЮза;birch
птица;bird
рождение;birth
день рождения;birthday
печенье;biscuit
кусочек, небольшая часть;bit
сука;bitch
кусать/укус;bite
горький;bitter
странный, причудливый;bizarre
лезвие;blade
порицать, винить/упрЮк;blame
пустой, чистый;blank
одеяло;blanket
взрыв или громкий звук / взрывать;blast
пламя;blaze
открытый, голый, лишЮнный растительность;bleak
кровоточить, истекать кровью;bleed
смешиваться или сочетаться/смесь;blend
благословлять;bless
слепой;blind
мерцать, блеснуть/мерцание, блеск;blink
квартал;block
создавать препятствие;block
чурбан, колода;block
болван;blockhead
блондин(ка);blonde
кровь;blood
расцветать/цвет, цветение;bloom
цвести, распускаться/цветение;blossom
взрывать, разрушать, взлетать на воздух;blow up
дуть/дуновение;blow
ударять/удар;blow
обман, запугивание, блеф/обманывать;bluff
ошибка, промах, просчЮт/ошибаться;blunder
тупой;blunt
пятно, клякса/затуманить, замарать, затемнить;blur
румянец/краснеть, заливаться румянцем;blush
доска, полка, борт;board
зал заседаний;boardroom
хвастаться/хвастовство;boast
лодка/кататься на лодке;boat
предвещать, сулить;bode
тело;body
телохранитель;bodyguard
кипеть или варить/кипение;boil
смелый, наглый, самоуверенный;bold
связь, оковы, соединение/связывать;bond
кость;bone
костЮр;bonfire
сиськи;boobs
заказывать (билет);book
благо, преимущество;boon
поднимать, повышать, поддерживать;boost
ботинок;boot
попойка/пьянствовать;booze
граница/граничить;border
зануда;bore
скука;boredom
скучный;boring
прирождЮнный;born
занимать, брать в долг;borrow
недра, лоно, сердце, пазуха и т. д.;bosom
как один, так и другой, оба;both
тревожиться, беспокоиться/беспокойство;bother
бутылка;bottle
дно, низ или подножие холма;bottom
подпрыгнуть,отскочить/прыжок, отскок;bounce
должен, вынужден;bound
граница;boundary
щедрый подарок или правительственная премия;bounty
лук (для стрельбы);bow
сгибаться, кланяться, преклоняться/поклон;bow
миска, чаша;bowl
коробка, ящик;box
связывать, скреплять, укреплять;brace
хвастать/хвастун;brag
мозг, ум;brain
тормоз/тормозить;brake
ветвь, ответвление, отрасль;branch
латунь;brass
смелый/храбро встречать;brave
мужество;bravery
проламывать/пролом, разрыв;breach
хлеб;bread
ширина, широта;breadth
провалиться, не получиться;break down
ворваться, вломиться;break into
распадаться;break up
ломать, разрушать;break
провал, разрушение, катастрофа;breakdown
завтрак;breakfast
прорыв;breakthrough
разрыв;breakup
грудь;breast
дыхание, вздох;breath
дышать;breathe
порождать, разводить (животных);breed
взятка;bribe
кирпич;brick
невеста;bride
мост;bridge
узда/обуздывать, сдерживать;bridle
краткий;brief
яркий, блестящий, светлый;bright
блестящий;brilliant
край (посуды);brim
возвращать;bring back
приносить,вносить;bring
край, обрыв;brink
живой, проворный;brisk
широкий;broad
вещание/транслировать, передавать;broadcast
расширять;broaden
разорившийся;broke
ручей;brook
метла/подметать;broom
брюнет(ка);brunette
щЮтка, кисть/чистить щЮткой;brush
жестокий, зверский;brutal
жестокость;brutality
жестокий, грубый, животный/животное или грубый человек;brute
пузырь, пузырЮк;bubble
(разг.) доллар;buck
ведро;bucket
шевелить или пошевельнуть;budge
бюджет;budget
жук;bug
педераст;bugger
строить;build
здание;building
объЮм, количество;bulk
бык;bull
пуля;bullet
ерунда, дерьмо, лажа;bullshit
хулиган, задира/задираться;bully
связка, пучок, компания (разг.);bunch
связка, пучок/связывать;bundle
ноша, бремя/нагружать, отягощать;burden
бюрократия;bureaucracy
похороны, погребение;burial
жечь, сгорать, обжигать;burn
взрыв/взрываться;burst
хоронить;bury
автобус;bus
куст;bush
дело или бизнес;business
разрушать, ломать;bust
суетиться/суета, суматоха;bustle
занятый;busy
кроме, за исключением;but
только лишь;but
торец, зад;butt
кнопка;button
пуговица;button
покупать;buy
жужжать, гудеть/жужжание, гудение;buzz
случайно;by chance
такси;cab
капуста;cabbage
хижина;cabin
канат или кабель;cable
клетка/сажать в клетку;cage
пироженое;cake
рассчитывать;calculate
рассчЮт, обдумывание;calculation
телЮнок;calf
звать;call
звонить по телефону;call
называть;call
призвание;calling
спокойный/спокойствие/успокаивать;calm
спокойствие, невозмутимость;calmness
верблюд;camel
лагерь/разбивать лагерь;camp
кампания;campaign
банка, жестяная коробка, бидон;can
отменить/отмена;cancel
рак (болезнь);cancer
свеча;candle
конфета;candy
пушка;cannon
холст, полотно;canvas
кепка, шляпа;cap
способность;capability
способный;capable
вместимость, способность, мошность, производительность;capacity
главный, основной, высший;capital
пленять, очаровывать;captivate
пленник;captive
захватывать/захват;capture
автомобиль;car
картон;cardboard
беспокоиться, тревожиться;care
забота, уход;care
карьера;career
осторожный, внимательный;careful
беззаботный, небрежный;careless
груз;cargo
плотник;carpenter
ковЮр;carpet
доводить до конца, выполнять;carry out
носить, перевозить;carry
телега;cart
мультфильм;cartoon
случай;case
судебный процесс;case
обналичивать или извлекать выгоду;cash in
наличные деньги;cash
бросать;cast
замок;castle
случайный;casual
несчастный случай или военные потери;casualty
поймать, захватить;catch
крупный рогатый скот;cattle
дело;cause
причина/быть причиной;cause
осторожность, предусмотрительность;caution
осторожный, предусмотрительный;cautious
пещера;cave
прекращать;cease
потолок;ceiling
праздновать, отмечать;celebrate
знаменитость;celebrity
(биол.) клетка;cell
мобильный (телефон);cell
подвал, погреб;cellar
кладбище;cemetery
цензура;censorship
век;century
определЮнный;certain
определЮнность, уверенность;certainty
удостоверять, ручаться;certify
цепь;chain
стул;chair
председатель;chairman
мел;chalk
вызов, трудная задача;challenge
требовать;challenge
случай, возможность;chance
менять/перемена;change
изменчивый, поддающийся изменениям;changeable
канал;channel
хаос;chaos
глава;chapter
характер или качество;character
заряд/заряжать;charge
обязанности, ответственность;charge
милосердие или благотворительность;charity
обаяние/очаровывать;charm
очаровательный;charming
гнаться, преследовать/преследование;chase
целомудрие, воздержание;chastity
разговор/болтать;chat
дешЮвый;cheap
обманывать/обман;cheat
проверять/проверка;check
щека;cheek
ободрить, поощрить;cheer
бодрый, весЮлый;cheerful
сыр;cheese
химический;chemical
химия;chemistry
лелеять, хранить, дорожить;cherish
вишня;cherry
шахматы;chess
сундук, ящик;chest
жевать;chew
цыплЮнок;chicken
руководитель/главный;chief
детство;childhood
холод или простуда;chill
подбородок;chin
звон/звякать;chink
щепка;chip
выбор;choice
душить;choke
выбирать;choose
рубить;chop
хор;chorus
христианин/христианский;christian
рождество;christmas
кусок;chunk
церковь;church
кино, кинематограф;cinema
круг или окружность/двигаться по кругу;circle
объезд, контур, электрическая цепь;circuit
обстоятельство;circumstance
ссылаться, цитировать;cite
гражданин;citizen
большой город;city
гражданский;civic
гражданский или вежливый;civil
гражданский;civilian
заявлять;claim
требовать/требование;claim
хлопать/хлопок, удар;clap
вносить ясность;clarify
столкновение/сталкиваться;clash
глина;clay
чистый/чистить;clean
ясный, чистый/разъяснять, очищать;clear
очевидно, несомненно;clearly
духовенство;clergy
церковник, духовное лицо;cleric
конторский служащий или чиновник;clerk
щЮлкать/щелчок;click
климат;climate
подъЮм, восхождение/взбираться, подниматься;climb
цепляться, держаться;cling
отрезать, отсекать;clip
часы;clock
по часовой стрелке;clockwise
близкий;close
закрытый/закрывать;close
чулан, кладовка;closet
ткань;cloth
одежда;clothes
одежда;clothing
облако;cloud
дубинка;club
идея, ход мыслей;clue
неуклюжий;clumsy
тренер, инструктор;coach
уголь;coal
морской берег;coast
пальто;coat
покрытие;coating
упрашивать, добиваться;coax
паутина;cobweb
петух;cock
гроб;coffin
последовательный, согласованный, связный;coherent
монета;coin
совпадать;coincide
совпадение;coincidence
холодный/холод;cold
сотрудничать;collaborate
сотрудничество;collaboration
разрушаться, обваливаться/обрушение, гибель;collapse
воротник, ошейник, хомут;collar
собирать;collect
совместный;collective
сталкиваться;collide
столкновение;collision
цвет/окрашивать;color
причЮсывать/гребень;comb
битва, сражение;combat
сочетание;combination
сочетать, совмещать;combine
произойти, случиться;come about
случайно встретиться;come across
продолжать усердно работать;come along
обнаружиться;come to light
произойти, случиться;come to pass
осуществиться;come true
возвращение;comeback
покой, отдых, удобство;comfort
утешать/утешение;comfort
удобный;comfortable
запятая;comma
заповедь, приказ;commandment
хвалить;commend
замечание, отзыв/делать замечание;comment
торговля;commerce
совершение чего-либо;commission
совершать (напр. преступление);commit
обязательство;commitment
совершение, исполнение;commitment
комитет, комиссия;committee
товар;commodity
общий;common
обычный, распространЮнный;common
обычно;commonly
банальный, заурядный;commonplace
государство, федерация, содружество;commonwealth
общаться или сообщать, передавать;communicate
общение;communication
община, общество;community
товарищ, спутник;companion
сравнимый, сопоставимый;comparable
сравнивать;compare
сравнение;comparison
сострадание, сочувствие;compassion
совместимый;compatible
принуждать, заставлять;compel
соревноваться, конкурировать;compete
способность, умение;competence
знающий, умелый;competent
соревнование, конкуренция;competition
конкурентоспособный;competitive
конкурент;competitor
составлять, собирать;compile
жаловаться;complain
жалоба;complaint
полный;complete
завершение, окончание;completion
сложный;complex
сложность;complexity
согласие, уступчивость;compliance
усложнять;complicate
сложный;complicated
сложность, запутанность;complication
уступить, подчиниться;comply
составлять, собирать;compose
составлять/смесь;compound
понимать, постигать;comprehend
понятный, постижимый;comprehensible
понимание;comprehension
исчерпывающий, понятный;comprehensive
товарищ;comrade
вогнутый, впалый;concave
скрывать;conceal
утаивание;concealment
уступать, признавать, допускать;concede
самомнение, тщеславие, чванство;conceit
самодовольный;conceited
мыслимый, возможный;conceivable
постигать, понимать;conceive
сосредоточиться;concentrate
сосредоточение;concentration
понятие, идея;concept
заботиться, беспокоиться/забота;concern
касаться, иметь отношение;concern
уступка;concession
делать вывод;conclude
вывод;conclusion
бетон/бетонный;concrete
осуждать;condemn
условие;condition
вести/поведение;conduct
признаваться;confess
признание;confession
доверять, вверять;confide
доверие, уверенность;confidence
уверенный;confident
ограничивать;confine
подтверждать, укреплять;confirm
подтверждение;confirmation
закоренелый, убеждЮнный;confirmed
соответствовать;conform
смешивать, спутывать, ставить в тупик;confound
смотреть в лицо, противостоять;confront
путать, принимать одно за другое;confuse
путаница, беспорядок;confusion
догадка, предположение/догадываться;conjecture
соединяться, связываться;connect
связь, соединение;connection
завоевать;conquer
завоевание;conquest
совесть;conscience
сознательный, сознающий;conscious
последовательный;consecutive
соглашаться/согласие;consent
последствие;consequence
консерватор/консервативны;conservative
считать за, рассматривать как;consider
значительный, большой;considerable
внимательный к другим, тактичный;considerate
внимание к другим;consideration
состоять из, заключаться в;consist
последовательность, постоянство;consistency
последовательный, согласованный;consistent
утешение;consolation
утешать;console
укрепление, затвердевание;consolidation
заговор;conspiracy
тайно замышлять;conspire
постоянный;constant
составлять;constitute
строить, создавать;construct
стройка;construction
советоваться, совещаться;consult
потреблять, поглощать;consume
потребитель;consumer
потребление;consumption
отношение, связь, взаимодействие/соприкосаться, взаимодействовать;contact
содержать в себе;contain
созерцать, рассматривать;contemplate
современный/современник;contemporary
презрение, неуважение;contempt
бороться, соперничать;contend
содержание;content
удовлетворять/удовлетворение;content
спор, борьба;contention
спорный или вздорный (человек);contentious
состязание, соперничество/отстаивать;contest
случайность, непредвиденное обстоятельство;contingency
постоянный, непрерывный;continual
продолжение или возобновление;continuation
продолжать, длиться;continue
непрерывный;continuous
сжимать, сокращать;contract
противоречить;contradict
противоречие;contradiction
вопреки, наоборот;contrary
делать вклад, жертвовать;contribute
вклад, пожертвование;contribution
придумывать, замышлять, изобретать;contrive
управление, надзор/управлять, присматривать;control
спорный;controversial
спор, дискуссия;controversy
удобство;convenience
удобный, пригодный;convenient
общепринятый;conventional
разговор, беседа;conversation
разговаривать;converse
изменение, преобразование;conversion
превращать, переделывать;convert
выпуклый;convex
перевозить, передавать;convey
осуждЮнный;convict
убеждение;conviction
убеждать;convince
готовить (еду)/повар;cook
прохладный/прохлада/охлаждать;cool
сотрудничать;cooperate
сотрудничество;cooperation
полицейский;cop
справиться;cope
медь;copper
экземпляр или рукопись;copy
шнурок, верЮвка;cord
сердцевина, ядро, суть;core
зерно;corn
угол;corner
банальный;corny
труп;corpse
правильный/поправлять;correct
правильность;correctness
соотвествовать, соотноситься;correspond
разъедать, вытравливать;corrode
портиться/испорченный или коррумпированный;corrupt
разложение;corruption
цена/стоить;cost
дорогой;costly
хлопок;cotton
диван;couch
кашель/кашлять;cough
совет, совещание;council
совет/совещаться;counsel
рассчитывать на;count on
иметь значение;count
считать (по числам)/счЮт;count
спокойствие, самообладание;countenance
прилавок, стойка;counter
противное, обратное/противостоять;counter
подделка/подделывать/поддельный;counterfeit
бесчисленный;countless
страна;country
сельская местность, округа;countryside
пара;couple
мужество;courage
ход, направление, течение дел;course
суд;court
вежливый, учтивый;courteous
учтивость, обходительность;courtesy
покрывать, скрывать;cover
охват зоны действия или освещение в сми;coverage
корова;cow
трус;coward
трусость;cowardice
раскалываться, ломаться/треск, трещина;crack
колыбель;cradle
ремесло, умение;craft
ерунда, дерьмо;crap
разбить, разрушить;crash
желать, жаждать;crave
ползать;crawl
сумасшедший;crazy
сливки, крем;cream
создавать;create
создание;creation
творческий;creative
создание, существо;creature
вероятность, правдоподобие;credibility
вероятный, заслуживающий доверия;credible
честь, репутация;credit
вероучение или убеждение;creed
ползать, пресмыкаться;creep
команда (судна) или шайка;crew
преступление;crime
преступный/преступник;criminal
калека/уродовать;cripple
критиковать, осуждать;criticize
изогнутый, кривой;crooked
урожай/собирать урожай;crop
крест;cross
пересекать/пересекающийся;cross
развилка, разветвление;crotch
припасть к земле, ползти;crouch
ворона;crow
толпа/собираться в толпу;crowd
корона;crown
решающий, критический;crucial
грубый, сырой, непродуманный;crude
